orginal,translation
다락院의 을 먹여 梁文驛에 쉬오고져,다락원에서 말을 먹여 양문역에서 쉬고 싶구나
淮陽이 어드메요 녜 일흠을 자가니,회양이 어디 쯤인가 예로부터 이름 있는 곳 찾아가니
三神山이 겨 잇다 魯連海도 갓가올샤,삼신산(금강산이 곁에 있다 노련해(동해도 가깝겠구나
雪雲嶺은 엇디ꢀ여 져대도록 놉닷말고,설운령은 어찌하여 저처럼이나 높다는 말인가
길흘 녜여 올나가니 고뷔고뷔 絶險ꢀ다,길을 내어 올라가니 고비고비 참으로 험하도다
머리 우회 瀑布소 萬山中을 흘드 ,머리 위의 폭포소리가 온 산중을 흔드는 듯
머리 아 구덩이 一行人을 밧드 ,머리 아래 구름덩이가 한 행인을 받드는 듯
倏然이 羽化ꢀ여 半空中의 소소 니,홀연히 날개가 생겨 공중에 솟아 뜨니
心神이 怳漾ꢀ여 놀랍기도 그음 업다,심신이 황홀하여 놀랍기도 끝이 없다
놉거든 險치 마라 險커든 놉지 마라,높거든 험하지 말 것을 험하거든 높지 말 것을
白沙公에 壯탄 말이 마초아 틀시고,이항복의 탄식한 말이 맞추어 같기도 하구나
高山을 지내모라 釋王寺 바라보니,고산을 지나면서 석왕사 바라보니
古蹟은 하것마 宿緣이 不足할샤,옛 유적은 많건마는 묵은 인연이 부족하구나
碧海水 翻듸쳐서 閭閻을 둘너시니,푸른 바닷물이 출렁 밀려와 마을을 두르고 있으니
關北으로 오 舡隻 到泊處가 되어셰라,관북으로 오는 배들 정박처가 되고 있구나
水陸에 生梨 됴키 元山倉이 아닐넌가,물과 땅에 물산 좋기로 원산 상평창이 아니었던가
차즈리라 先王 舊蹟 德源으로 드러가니,찾으리라 선왕(이성계 옛 유적 덕원으로 들어가니
故老의 傳ꢁ 말이 稀微도 稀微ꢀ다,노인이 전하는 말이 희미하기도 희미하구나
龍興江 린 즐기 黑石里 둘너시니,용흥강 내린 줄기 흑석리를 두르고 있으니
周나라 八百基業 海東에 여실샤,주나라 팔백 년 업적 이 땅에 여셨도다
萬歲橋 놉흔 리 十里에 거의로다,만세교 높은 다리 십 리에 가깝도다
樓閣이 葱籠ꢀ니 樂民이 아닐넌가,누각이 우뚝하니 낙민루가 아닐는지
本宮에 兩株松이 奇異도 奇異샤,본궁의 두 그루 소나무 기이하기도 기이하구나
鬱鬱이 蒼蒼ꢀ여 殿角을 덥퍼 잇고,빽빽하고 푸르러서 전각 한 모퉁이를 덮고 있고
祥雲이 어릔 고데 民物이 安樂ꢀ니,상서로운 구름 어린 곳에 백성 생업이 안락하니
聖祖의 雨露澤을 至今지 보리로다,성스러운 조상의 은덕을 지금같이 보겠도다
咸關嶺을 겨유 넘어 侍中舍로 올은말이,함관령을 겨우 넘어 시중대로 올라가 보니
옛 將帥의 雄才大略 어이 그리 壯톳던고,옛 장수(윤관의 재주와 지략 어찌 그리도 장하던가
女眞을 蕩掃ꢀ고 선춘령의 碑 삭여,여진을 소탕하고 선춘령에 비를 새겨
凱歌로 돌아올 제 이  노랏도다,개선가 부르며 돌아올 때 이 땅에서 놀았도다
靑海 구버보고 居山驛을 도라드니,푸른 바다를 굽어보고 거산역을 돌아드니
崩城敗壁 宛然ꢀ야 至今에 流轉ꢀ니,허물어진 성 부서진 성벽 뚜렷이 오늘에 이르도록 떠도니
肅愼氏 故都을 몃 千 年이 지낫고,숙신(여진의 옛 도읍 몇 천 년이 지났는가
구을 랏 듯 하을 랏 듯,구름을 갈아낸 듯 하늘을 갈아낸 듯
雪雲이야 咸關이야 오히려 놀사거든,설운령이야 함관령이야 오히려 놀라거든
險ꢀ고 놉다ꢁ들 이 니  잇가,험하고 높다한들 이 같은 곳 또 있겠는가
城津은 關隘이오 吉州 雄府로다,성진은 좁은 관문이요 길주는 웅장한 고을이도다
戰功을 무리라 臨命이 어드메요,전쟁 공적을 물으리라 임명역이 어디 쯤인가
殉國ꢀ던 許家895)들은 一村을 지어 잇고,나라 위해 목숨 바친 허씨 후손들 한 마을을 이루었고
巋然ꢁ 重峯廟 後人이 興感ꢀ니,우뚝한 조헌의 서원은 후세 사람 마음을 움직이니
十里 오든 언덕 忽然이 수거드니,십 리를 오른 언덕 홀연히 숙이게 하니
蘇武의 깁흔 구이 여긔야 울톳던가,소무의 깊은 원한 여기에서 울부짖었던가
無限이 千百仞을 속으로 드러가니,무한히 천백 길을 땅속으로 들어가니
鬼物이 森然ꢀ여 客의 魂을 놀내거나,귀신들이 많고 많아 길손의 혼을 놀래는구나
今世에 이를 본 者 뭇노라 몃몃치뇨,지금 세상에 이를 본 자 묻노라 몇몇인가
안 바회 셧 돌히 긔  노 ,앉은뱅이 바위 서 있는 돌이 기는 듯 뛰노는 듯
形形色色 奇昇ꢀ다 엇디ꢀ면 보리런고,형형색색 기이도 하다 어찌하면 볼 수 있겠는가
섯바괴니 안개 구 어릔 등에 海瘴 조,서서 배회하니 안개 구름 서린 등에 독한 바닷기운 따라
男兒의 壯ꢁ 지 奮然이 쳐나셔,남아의 장한 뜻이 기운차게 일어나서
子長을 배홧더니 從軍이 되어셰라,사마천을 배웠는지 군대를 따르는 모습이구나
七寶山 됴흔 景이 눈 속의 熹微ꢀ니,칠보산 좋은 경치 눈 속에 희미하니
會象臺 金剛窟을 하마면 가리로다,회상대 금강굴을 어쩌면 가겠도다
鏡城을 라보고 明川을 넘어ꢀ니,경성을 바라보고 명천을 넘어가니
號令이 嚴肅ꢁ데 威儀도 하도샤,호령이 엄숙한데 위세도 대단도 하구나
制勝堂 너른 에 鼓角이 喧塡ꢀ니,제승당 넓은 뜰에 북과 나발이 시끄럽게 메우니
肅曺  吏隷와 熊羆  士卒이,엄숙한 무리 같은 아전들 곰처럼 용맹한 군졸들이
整齊히 버린 中에 旌旗 휘동ꢁ니,가지런히 벌이어 선 가운데 깃발을 지휘해 움직이니
大丈夫 快ꢁ 일을 긔 아니 볼거이고,대장부 장쾌한 일을 그 아니 볼 것인가
元帥臺 놉흔 터히 渤海 구버보니,원수대 높은 터에서 발해를 굽어보니
漁浪으로 가 믈이 어드러셔 뵌단말고,어랑천으로 가는 물이 어디 쯤에서 보인단 말인가
貿貿ꢁ 荒裔之地 倫綱을 아 거슨,무지하고 서투른 변방 윤리 기강을 아는 것은
李富率의 傳ꢁ 學行 蒙士 敎化ꢀ니,이부수가 전한 학덕 행실 몽매한 이를 교화하니
靜淑ꢁ 山河之氣 一身에 모혓시니,맑고 깨끗한 산천의 기운 한몸에 모였으니
吾道의 廣大ꢀ믈 이에돠 알니로다,유학의 광대함을 이로써 알겠도다
길 은 시 가 사 머무로니,길가에 맑은 시내 가는 사람 머무르게 하니
屹然ꢁ 兄弟巖이 天作으로 혀나셔,우뚝히 솟은 형제암 하늘의 솜씨로 빼어나서
雙으로 셧 거동 雁序 렷시니,쌍으로 서 있는 거동 위아래 질서를 따랐으니
伯夷 叔齊 놉흔 持操 節義 잡앗 ,백이 숙제 높은 지조 절개 의리를 잡고 있는 듯
蘇軾 蘇轍 너른 文章 名望을 가졋 ,소식 소철 넓은 문장 명성 인망을 가지고 있는 듯
ꢁ번 보면 시 오니 긔 아니 多情턴가,한번 보면 다시 오니 그 아니 다정하던가
茂山嶺이 젹다마 두세 번을 쉬여 넘어,무산령이 작다마는 두세 번을 쉬어 넘어
十五里 버더시니 뉘라셔 쉽다턴고,시오리를 벋어 있으니 누구라서 쉽다던가
豆滿江 흐른 고데 鴻溝 난화시니,두만강 흐르는 곳에 경계를 나누었으니
鰲山으로 地界삼아 눈알 막켜 잇고,오산으로 땅 경계를 삼아 눈앞에 막혀 있고
接賓舘에 드 거시 紅抹頭 言侎儷라,접빈관에 드는 모습 머리에 붉은 수건 두르고 짝이라고 이르더라
장ꢀ 胡人들은 무 일노 온단 말고,장사하는 오랑캐들은 무슨 일로 온단 말인가
大宛馬와 羊鼠皮로 牛鹽을 交易ꢀ니,대완국 말과 양가죽 쥐가죽으로 소와 소금을 교역하니
寧㙮의 모화 두어 別區 삼앗고야,영탑에 모아 두어 별도 구역을 삼았구나
兩國이 交收ꢀ려 和親을 ꢀ돗던가,두 나라가 교역하려고 화친을 하였던가
宋나라 運盡제 兩靑衣 行酒ꢀ고,송나라 운수가 다할 때 두 청색옷 입은 사람 술잔을 돌리고
五國城의 주리단 말 드럿더니 보완지고,오국성에서 굶주렸다는 말 들었더니 보는 듯하구나
江左의 英雄드리 됴흔 謀策 업돗던지,두만강 왼쪽(중국 영웅들이 좋은 계책 없었던지
千萬代예 붓그림을 써서 보기 어려웨라,천만 년에 붓과 그림을 써서 보기가 어려워라
路傍에 纍纍ꢀ미 皇帝塚이 眞傳인가,길가에 다닥다닥 붙은 것 황제 무덤이 정말 전해오는 것인가
荒原衰草 너른 들에 金棺玉匣 슬프도다,거친 들판 시드는 풀 넓은 들에 금관 옥장구 슬프도다
胡山을 엽 고 擧樑峴을 넘어셔니,오랑캐 산을 옆에 끼고 거량현을 넘어서니
鎭北樓 빗난 丹雘 中天에 소사 잇고,진북루 빛나는 단청 공중에 솟아 있고
永嘯堂 宏傑ꢁ 집 一營을 鎭定ꢁ니,영소당 굉장하고 훌륭한 집 한 감영을 진정시키니
녜붓터 移住ꢁ여 이 城을 직회돗다,예부터 이주하여 이 성을 지키는도다
兵馬의 精强과 元戎의 深謀遠慮,병사와 말 씩씩 강건함과 원수의 깊은 책략 훗날 예견
敵國이 저허ꢀ니 邊疆이 을시고,적국이 두려워하니 변방 강토가 맑기도 하구나
沙漠에 王庭 업기 몃 百年이 지낫관,사막에 세운 나라 없는 것 몇 백년이 지났기에
人民이 乘化ꢀ여 淳俗이 되어다,인민이 교화를 입어 순후한 풍속이 되어 있도다
鍾穩城 넘어드러 江邊으로 조가니,종성 은성 넘어들어 강변으로 따라가니
胡塵이 咫尺이라 花草도 만시고,오랑캐 땅 지척이라 화초도 많기도 하구나
春來예 不似春이 녯글도 날 속여라,봄이 왔으나 봄 같지 않다는 옛글도 나를 속이도다
妙시고 동당아 쟁영손 立岩이,오묘도 하구나 동당아 높고도 가파른 선바위가
무 일을 뭇오려 하계 츄미럿,무슨 일을 물으려고 하늘로 치솟았는가
撫夷鎭 나즌 城의 防卒이 數十이라,무이진 낮은 성에 방어 병사가 수십이라
關隘을 防禦ꢀ미 踈迂도 踈迂ꢀ다,좁은 관문 방어함이 엉성하기도 엉성하구나
八池 瞻望ꢀ고 句甫로 둘워가니,팔지를 바라다보고 구포로 둘러가니
御史臺 놉흔 터히 幹東을 向ꢀ엿다,어사대 높은 터가 알동을 향하였다
洪武年間 사르실 제 諸千戶 避ꢀ시샤,홍무 연간 살으실 때 제천호를 피하셔서
赤島로 드르시니 陶穴이 열세 고지,적도로 들어가시니 움막 구덩이 열세 곳이
至今에 宛然ꢀ니 窮困ꢀ미 極ꢀ실샤,지금에도 완연하니 곤궁함이 극에 달하셨을 때
赤池예 主人翁이 客龍을 조 時節,적지의 주인 노인이 객룡을 쫓아낸 시절
黑白을 分辨ꢀ샤 ꢁ 살노 마치시니,흑백을 가리셔서 한 화살로 맞추시니
血痕이 불거이셔 後世예 알니로다,혈흔이 붉게 남아 있어 후세에도 알겠도다
西水羅 긴 터히 瓢子치 드러가셔,서수라 항구 생긴 터에 표주박 같이 들어가서
夷夏 난ꢁ 고데 瑟海 리치니,우리와 중국을 가르는 곳에서 슬해(연해주를 가리키니
 밧근 바다히요 물 맛근 하날이라,땅 밖은 바다요 물 밖은 하늘이라
平生에 아 바 하 따히 다터니,평생에 아는 바는 하늘 땅이 같다하더니
이제야 닷과라 하이 너르도다,이제야 깨달았도다 하늘이 너르도다
너른 하 그여올나 西海 구버보면,너른 하늘 기어올라 서해를 굽어보면
히 현마 너른 고지 업슬 줄이 아니로되,땅이 설마 너른 곳이 없을 줄이 아니로되
泰山에 오른 말이 좁거니 좁은 海東,태산에 올라 하는 말이 좁고도 좁은 우리 땅
天下도 역엇니 容納 듸 專혀 업다,천하도 엮었으니 용납할 데 전혀 없다
卵島의 알둔 져비 時時로 도라오고,난도에 알을 둔 제비 때때로 돌아오고
烏碣岩의 안즌 白鷗 興盡ꢀ매 라나니,오갈암에 앉은 갈매기 흥이 다함에 날아가니
遠客의 離鄕心事 三千里 놀내거다,먼 길 나선 길손 고향과 떨어진 마음 삼천 리를 놀라게 하도다
萱堂에 倚閭情은 日夜에 懸望ꢀ고,어머니의 자식 기다리는 심정은 밤낮으로 문간에 기대어 바라보고
蘭階예 서너 줄기 晨昏으로 기도로니,난초 심은 섬돌에서 서너 줄기 눈물 흘리며 새벽 해질녘으로 기다리니
아야 말 안장 ꢀ여사라 도라가 위로ꢀ리라,아이야 말 안장 얹으려무나 돌아가 위로하리라
愚昧우매ꢀ 너히는 不孝歎불효탄을 드러셔라,우매한 너희는 불효탄을 들어보라
天開地闢천개지벽 萬物만물 길 졔 貴賤귀천으로 겨슨니,천지개벽 만물 생길 때 귀천으로 생겼으니
貴귀ꢀ 거선 사이요 賤천ꢀ 거슨 김이라,귀한 것은 사람이요 천한 것은 짐승이라
이 貴귀타 ꢁ되 不孝불효ꢁ면 賤천ꢁ미요,사람이 귀타 하되 불효하면 천함이요
김생이 賤천타 ꢁ되 貴귀ꢀ 김생 인니라,짐승이 천타 하되 귀한 짐승 있느니라
反哺반포ꢁ난 烏鵲오작이며 報本보본ꢁ난 豺獺시달이,안갚음하는 까마귀며 은혜 갚는 수달은
졔 父母부모를 能능히 아니 賤천ꢀ 中중의 貴귀하도다,제 부모를 능히 아니 천한 중에 귀하도다
하말며 으로 禽獸금수만 못소냐,하물며 사람으로 금수만 못할쏘냐
天地間천지간 萬物만물린들 父母부모 업시 길소냐,이 세상 만물인들 부모 없이 생길쏘냐
人道인도를 行행한 슨 父母부모 먼여 셤기나니,사람 도리 행한 뜻은 부모 먼저 섬기나니
五倫오륜의 首第수제 되고 百行백행의 根源근원이라,오륜의 으뜸이고 백행의 근원이라
父生母育부생모육 劬勞구로하야 니 몸이 겨시니,부모님 덕택으로 이내 몸이 생겼으니
胎中태중 十月시월 勞焦노초ꢁ야 십生생구死사 나실 졔,복중 열 달 애태워서 겨우겨우 태어날 때
男女남녀 分別분별 아이ꢁ고 沐浴목욕 감겨 젼 머긔며,남녀 분별 아니하고 목욕 시켜 젖 먹이며
치워한가 더퍼주고 아파한가 어루만져,추운가 덮어주고 아픈가 어루만져
膝下슬하 三年삼년 기를 져긔 하고만ꢀ 병이며,품안 삼년 기를 적에 하고많은 잔병이며
大疫대역 小疫소역 지 적의 問醫문의 用藥용약 하겨시며,홍역 수두 지낼 적에 진찰 받아 약을 쓰며
이 몸을 니실 졔 焦盡肝腸초진간장 하시도다,이내 몸을 살리실 때 애간장을 태우셨도다
免懷면회를 계우 ꢁ야 五六歲오륙세를 기가니,품에서 겨우 나와 오륙 세를 지나가니
千字천자 推句추구 가라치되 人事인사를 알게 하며,천자 추구 가르치되 사람 도리 알게 하며
八九歲팔구세를 기가니 小學소학 大學대학 가치며,팔구 세를 지나가며 소학 대학 가르치며
十餘歲십여세를 기가니 四書三經사서삼경 가치되,십여 세를 지나가니 사서삼경 가르치되
避害피해 就吉취길 알계 하야  될가 라나니,좋고 나쁨 구별하여 사람 될까 바랐더니
至于二十지우이십 成就성취토록 父母부모 근심 얼런고,이십에 이르도록 부모 근심 얼마런가
歲月세월리 如流여류하야 黑髮흑발이 白髮백발 되,세월이 빨리 흘러 검은 머리 백발 되네
우리도 愛日애일하야 養志奉養양지봉양 밧비 하자,우리도 날을 아껴 뜻 받들어 봉양하자
泰山태산갓치 놉푼 恩惠은혜 河海하해갓치 집고 멀며,태산같이 높은 은혜 하해같이 깊고 멀며
하랄갓치 가이 업셔 엇지 다 갑사오리,하늘같이 끝이 없어 어찌 다 갚으리오
아무리 갑자 한들 半반치나 갑풀쇼야,아무리 갚자 한들 반이나 갚을쏘냐
昏定晨省혼정신성 드러ꢁ고 甘旨감지 供養공양 至極지극하며,아침저녁 보살피고 좋은 음식 공양하며
낫빗슬 柔順유순ꢁ고 말을 나작하며,낯빛을 순하게 하고 말씀을 낮게 하며
每事매사를 主張주장 말고 父母令부모령을 拒逆거역 말며,매사를 주장 말고 부모 명령 거역 말며
不遠遊불원유도 ꢁ려니와 遊必有方유필유방 ꢁ나니라,멀리 가지 말거니와 가게 되면 알려야 한다
病병과 疾질이 계시거든 問醫문의 用藥용약 급피 하야,질병이 있으시면 진찰 받아 약을 쓰며
질거이 웃지 말고 放心방심ꢁ야 지 말며,즐거이 웃지 말고 방심하여 자지 말며
萬事만사를 다 바리고 근심을 하여셔라,만사를 다 버리고 근심을 하여라
子道자도를 못 行행하면 禽獸금수와 다를소냐,자식 도리 못 행하면 금수와 다를쏘냐
生前생전으 못ꢀ 孝誠효성 死後사후에 恨한이 되니,생전에 못한 효성 사후에 한이 되니
古今고금 聖賢성현 이  아라 極盡극진 奉養봉양 ꢁ시도다,고금 성현 이 뜻 알아 극진 봉양 하시도다
貴爲天子귀위천자 不解憂불해우은 大舜대순의 孝誠효성이요,천자임에도 근심한 건 순임금의 효성이요
問有餘則문유여즉 曰有之일유지난 曾子증자의 養志孝양지효요,남은 것이 있다 한 건 증자의 봉양이요
七十칠십 五色班斕衣오색반란의난 老萊子노래자의 孝養효양이요,칠십에 색동옷 재롱 노래자의 봉양이요
親痢친리의 嘗糞憂상분우난 庾黔婁유검루의 至孝지효요,부친 이질에 변을 맛본 건 유검루의 지극한 효요
雪中泣而설중읍이 筍生순생ꢁ니 孟宗맹종의 天孝也천효야912)요,눈 속에서 죽순 얻음 맹종의 효성이요
氷自解而빙자해이 雙鯉出쌍리출은 王祥왕상의 至孝也지효야요,얼음 녹고 잉어 나온 건 왕상의 지극한 효요
三夏炎熱삼하염열 扇枕床선침상은 黃香황향의 孝誠효성이요,한여름에 침상 부채질 황향의 효성이요
百里遠程백리원정 負米恨부미한은 子路자로의 孝誠효성이라,백 리 먼 길 쌀짐 진 건 자로의 효성이라
이 밧긔 인난 至孝지효 엇지 다 긔록ꢁ랴,이 밖의 지극한 효 어찌 다 기록하랴
강이나 니니 너히도 본을 바다,대강이나 이르나니 너희도 본을 받아
眷眷服膺권권복응 각ꢁ야 착한  되여셔라,잊지 말고 명심하여 착한 사람 되어라
世遠세원 人亡인망하고 經殘경잔 敎弛교이하야,세대 멀고 성인 없어 경전 교육 해이하여
物慾물욕만 紛紜분운하니 人道인도가 젼히 업다,물욕만 난무하니 사람 도리 전혀 없다
世上세상을 둘너보니 人面獸心인면수심 불칙하고,세상을 둘러보니 인면수심 가득하고
귀 지우려 드러보니 骨肉相爭골육상쟁 참혹하다,귀 기울여 들어보니 골육상쟁 참혹하다
無知무지한 不孝불효놈은 父母부모 命令명령 아니 좃고,무지한 불효자는 부모 명령 안 따르고
養志양지가 무어신지 졔 마암을 主張주장하야,부모 봉양 무엇인지 제 마음을 주장하여
從天降종천강을 ꢁ여난 듣 從地出종지출을 하여난 듯,하늘에서 내려온 듯 땅에서 솟은 듯
酒色주색의로 東동의 놀고 博奕박혁으로 西의 노라,주색으로 동에 놀고 노름으로 서에 놀아
不順불순 不孝불효 하난 놈이 남의게나 잘할소냐,무례한 불효자가 남에게는 잘할쏘냐
니웃 글이 보고 洞內동내의 是非시비 나니,이웃사람 그르게 보고 동네에 시비 나니
失人心실인심을 漸漸점점ꢁ야 遍鄕편향 中중 글니 보니,인심을 점점 잃어 모든 마을 그르게 보니
意氣의기 俠徒협도 作黨작당하야 毁家훼가 出送출송 ꢁ랴 하고,의기투합 작당하여 집을 헐고 내쫓으며
不孝罪불효죄로 디시며 怒拳노권으로 打頰타협하고,불효죄로 꾸짖으며 주먹 쥐고 뺨을 치며
怒足노족으로 蹴兇축흉하니 德分덕분 졔발 걸한들,성난 발로 세게 차니 덕분 제발 애걸한들
衆口중구를 難防난방이라 敗家亡身패가망신 졀로 되야,뭇사람 입 못 막으니 패가망신 절로 되어
以力服人이력복인 뫼인 물 春雪춘설갓치 녹아지니,완력으로 모인 재물 봄눈같이 녹아지니
寒廚한주의 져 妻子처자난 발 구리며 自嘆자탄하고,찬 부엌의 저 처자는 발 구르며 자탄하고
洞內동내의 뫼인 老少노소 目笑목소하야 조롱한다,동네에 모인 노소 눈짓하며 조롱한다
改過遷善개과천선 각한들 지은 죄를 버실소랴,개과천선 생각한들 지은 죄를 벗을쏘냐
白圭백규의 거문 난 갈면 다시 히련이와,흰 옥의 검은 때는 갈면 다시 희려니와
 몸의 지은 허믈 갈 망 젼히 업다,내 몸에 지은 허물 갈 가망 전혀 없다
그리울셔 우리 님금 뵈옵고져 우리 님금,그리울사 우리 임금 뵈옵고저 우리 임금
우리 님금 셩명聖明ꢀ셔 천지天地오 부모父母이시니,우리 임금 성명하셔 천지요 부모이시니
날  미천신微賤臣을 무엇시 가可取라고,나 같은 이약하고 천한 신하를 무엇이 취할 것이라고
이은異恩을 로 닙고 연포筵褒가 졍즁鄭重ꢀ니,특별한 은혜를 자주 입고 연회와 포상이 막중하니
고신孤臣 일촌침一寸枕이 눈물이 바다히다,외로운 신하 조그만 잠자리가 눈물이 바다라네
천문天門의 출입出入ꢀ야 경광耿光을 일시昵侍ꢀ니,대궐문에 출입하여 임금님을 가까이 모시니
영화榮華가 지극至極ꢀ고 소원素願이 여긔 잇다,영화가 지극하고 본래의 소원이 여기 있다
서교西郊 뉵참六站의 마관馬官을 ꢀ이시니,서교의 여섯 역참에 마관을 했으니
군은君恩을 슉샤肅謝ꢀ고 옥폐玉陛를 하직下直ꢀ니,임금 은혜를 사은숙배謝恩肅拜하고 궁궐 계단을 하직하니
챵문閒門 구중九重의 거름거름 눈물이라,창문 구중궁궐에 걸음걸음 눈물이라
견마犬馬 미물微物도 제 님재을 각ꢀ고,개와 말 같은 미물도 제 임자를 생각하고
규곽葵藿 방지旁枝도 날빗츨 기우리니,해바라기 곁가지도 햇빛을 따라 기울이니
회양□陽이 엷닷 말가 금달이 내 원願이라,회양이 엷단 말인가 금달이 내 원이라
즁쇼中霄의 창窓을 열고 북신北辰을 라보니,중천中天의 창을 열고 북극성을 바라보니
오운五雲 깁픈 곳에 우리 님금 계시고나,오색 구름 깊은 곳에 우리 임금 계시구나
경누瓊樓 옥우玉宇에 츄긔秋氣 치워지고,궁중 임금 계신 곳에 가을 기운 추워지고
노白露 겸가蒹葭의 미인美人은 머러졋,백로 절기 갈대에 미인은 멀어졌네
지령가芝靈歌 ꢁ 곡죠曲調로 묘묘渺渺ꢁ 천일방天一方에,지령가 한 곡조로 아득한 하늘 끝에
슈문隨門 슉견宿趼을 몽夢寐에나 즐손가,문을 지키느라 살이 트는 것을 꿈속에나 잦을까
거연遽然히 이 드러 일침一枕을 일워시니,갑자기 잠이 들어 한 꿈을 꾸었으니
의연依然ꢁ 구일모양舊日模樣 입시入侍예 드럿고나,의연한 옛날과 같은 임의 모습 뵙기 위해 들어갔구나
용누龍樓를 노피 열고 옥좌玉座가 엄님儼臨토다,용루를 높이 열고 옥좌가 의젓하게 임했도다
지쳑咫尺 젼셕前席의 죵일終日을 근시近侍ꢀ니,지척의 앞자리에서 종일을 가까이 모시니
천안天顔이 여작如昨고 옥음玉音이 온슌溫諄ꢀ데,임금님 얼굴 예와 같고 목소리는 온순하더라
촌계村鷄 ꢁ 솔의예 홀연忽然히 깨으니,촌 닭 한 소리에 홀연히 개었으니
심신心神이 챵망愴惘ꢀ여 눈물이 오세 젓네,마음이 슬프고 경황이 없어 눈물이 옷에 젖네
군문君門이 여천如天ꢀ여 다시 들기 어려울새,궁궐 문이 하늘처럼 멀어 다시 들어가기 어렵구나
이나 빙쟈憑藉ꢀ여 우리 님금 뵈 거슬,꿈이나 빙자하여 우리 임금 뵙는 것을
계셩鷄聲은 무삼 일노 조차 오고,닭 울음소리 무슨 일로 꿈까지 깨우는가
방황彷徨 죵야終夜의 이 음 경경耿耿ꢀ다,방황하여 밤새도록 이 마음 잊히지 않네
죵남산終南山 불로不老ꢀ고 한강슈漢江水 도도滔滔ꢀ니,남산 늙지 않고 한강수 도도하게 흐르니
슬푸다 이 내 생각 어느 때 그치일고.,슬프다 이 내 생각 어느 때 그칠까.
이 몸 삼기실제 님을 조차 삼기시니,이 몸을 만드실 때 님을 따라 만드시니
ꢀ 緣연分분이며 ꢁ 모 일이런가,함께 살아갈 연분이며  하늘이 모를 일이던가
나 ꢁ나 졈어 잇고 님 ꢁ나 날 괴시니,나 하나 젊어 있고 임 하나 나를 사랑하시니
이 음 이 랑 견졸  노여 업다,이 마음 이 사랑을 비교할 곳이 다시없다
平평生애 願원ꢁ요 ꢀ 녜쟈 ꢁ얏더니,평생에 원하되 함께 살아가려 하였더니
늙거야 므 일로 외오 두고 그리고,늙어서야 무슨 일로 외따로 두고 그리워하는고
엇그제 님을 뫼셔 廣광寒한殿뎐의 올낫더니,엊그제 임을 모시고 광한전에 올라 있었더니
그더 엇디ꢁ야 下하界계예 려오니,그동안에 어찌하여 속세에 내려 왔느냐
올저긔 비슨 머리 헛틀언디 삼년일쇠,올 적에 빗은 머리가 헝클어진 지 3년일세
臙연脂지粉분 잇마 눌 위ꢁ야 고이 고,연지분이 있지마는 누구를 위해 곱게 할고
음의 친 실음 疊텹疊텹이 혀 이셔,마음에 맺힌 시름이 첩첩이 쌓여 있어서
짓니 한숨이오 디니 눈믈이라,짓는 것이 한숨이요 흐르는 것이 눈물이라
人인生은 有유限ꢀꢀ 시도 그지 업다,인생은 유한한데 시름은 끝이 없다
無무心심ꢀ 歲셰月월은 믈 흐 ꢁ고야,무심한 세월은 물 흐르듯 하는구나
炎염凉냥이  아라 가  고텨 오니,염량이 때를 알아서 가는 듯 다시 오니
듯거니 보거니 늣길 일도 하도 할샤,듣는 것 보는 것이 느낄 일도 많기도 많구나
東동風픙이 건듯 부러 積젹雪셜을 헤텨 내니,봄바람이 살짝 불어 쌓인 눈을 헤쳐 내니
窓창 밧긔 심근 梅花화 두세 가지 픠여셰라,창 밖에 심은 매화가 두세 가지 피었구나
득 冷淡담ꢀ 暗암香향은 므 일고,가뜩이나 몹시 찬데  그윽한 향은 무슨 일인고
黃황昏혼의 이 조차 벼마 빗최니,황혼에 달이 따라와 베갯머리에 비치니
늣기  반기  님이신가 아니신가,흐느끼는 듯 반가워하는 듯 임이신가 아니신가
뎌 梅花화 것거 내여 님 겨신  보내오져,저 매화를 꺾어 내어 임 계신 곳에 보내고 싶구나
님이 너 보고 엇더타 너기실고,임이 너를 보고 어떻다 생각하실까
 디고 새닙 나니 綠녹陰음이 렷,꽃 지고 새 잎 나니 나무 그늘이 깔렸는데
羅나幃위 寂젹寞막ꢁ고 繡슈幕막이 뷔여 잇다,나위 적막하고 수막이 비어 있다
芙부蓉용을 거더 노코 孔공雀쟉을 둘러 두니,부용을 걷어 놓고 공작을 둘러 두니
득 시 한 날을 엇디 기돗던고,가뜩이나 시름이 많은데 날은 어찌 길던가
鴛원鴦앙錦금 버혀 노코 五오色線션 플텨내여,원앙금을 베어 놓고 오색실을 풀어내어
금자 견화이셔 님의 옷 지어내니,금자로 재어서 임의 옷을 지어 내니
手슈品품은 니와 制졔度도도 시고,솜씨는 물론이고 격식도 갖추었구나
珊산瑚호樹슈 지게 우 白玉옥函함의 다마 두고,산호수로 만든 지게 위의 백옥함에 담아 두고
님의게 보내오려 님 겨신  라보니,임에게 보내려고 임 계신 곳을 바라보니
山산인가 구름인가 머ꢁ도 머흘시고,산인지 구름인지 험하기도 험하구나
千쳔里리 萬만里리 길 뉘라셔 자갈고,천만리 먼 길을 누가 찾아갈까
니거든 여러 두고 날인가 반기실가,가거든 열어 두고 나를 보신 듯 반가워하실까
ꢁ밤 서리김의 기러기 우러 녈제,하룻밤 서리 내릴 무렵 기러기 울며 날아갈 때
